matricul,natcremo,mtinicre,mtsolree,dtprescc,ddmotiet,ddetatcr,lb_motietat,lb_etatcre,lb_statucre,lb_moderec,etatsdp,idnatpie,annee_cohorte
M0031,PPA,726.56,968.49,2025-02-13,2025-10-23,2025-12-14,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC003,2025
M0032,PPA,1488.13,798.71,2025-05-17,2025-08-24,2025-09-30,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0033,AAH,931.82,292.82,2025-03-15,2025-02-25,2025-07-27,Erreur CAF,Clôturé,En cours,Manuel,Validée,DOC002,2025
M0034,APL,487.98,979.97,2025-02-05,2025-12-26,2025-08-26,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC002,2025
M0035,ASF,932.26,601.88,2025-04-11,2025-04-20,2025-04-03,Signalement usager,Ouvert,En cours,Manuel,Rejetée,DOC001,2025
M0036,APL,324.67,582.42,2025-06-05,2025-07-11,2025-06-22,Recalcul,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0037,ASF,393.95,748.07,2025-09-12,2025-04-03,2025-03-20,Erreur CAF,En attente,En cours,Automatique,Validée,DOC003,2025
M0038,AAH,1021.82,811.77,2025-06-20,2025-12-16,2025-04-20,Recalcul,Clôturé,En cours,Manuel,Validée,DOC002,2025
M0039,RSA,866.9,656.48,2025-08-04,2025-02-25,2025-08-05,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0040,PPA,1833.95,128.1,2025-06-19,2025-03-01,2025-12-24,Signalement usager,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0041,AAH,756.67,338.27,2025-09-09,2025-05-18,2025-04-16,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC002,2025
M0042,PPA,1182.15,928.08,2025-12-26,2025-02-08,2025-02-16,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC002,2025
M0043,RSA,1282.92,224.62,2025-11-18,2025-01-28,2025-06-30,Erreur CAF,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0044,RSA,75.53,372.17,2025-02-24,2025-02-18,2025-03-05,Signalement usager,Clôturé,A solder,Automatique,Validée,DOC001,2025
M0045,AAH,1343.9,432.08,2025-04-01,2025-05-05,2025-09-03,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC002,2025
M0046,RSA,397.17,439.4,2025-10-05,2025-01-13,2025-09-01,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC002,2025
M0047,ASF,1924.09,612.94,2025-04-11,2025-02-05,2025-11-16,Erreur CAF,En attente,A solder,Manuel,En attente,DOC002,2025
M0048,RSA,339.89,943.08,2025-06-04,2025-04-11,2025-03-28,Recalcul,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0049,PPA,858.52,240.69,2025-12-15,2025-10-09,2025-08-05,Erreur CAF,Ouvert,En cours,Automatique,En attente,DOC003,2025
M0050,PPA,216.43,121.5,2025-12-30,2025-03-27,2025-01-07,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC002,2025
M0051,PPA,1993.9,197.47,2025-05-21,2025-01-04,2025-10-05,Recalcul,Clôturé,Relance,Automatique,Validée,DOC001,2025
M0052,PPA,1029.28,886.92,2025-06-22,2025-08-11,2025-12-03,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0053,ASF,1211.0,645.81,2025-01-10,2025-12-04,2025-07-29,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0054,APL,180.8,285.91,2025-08-16,2025-06-15,2025-06-18,Erreur CAF,Clôturé,Relance,Manuel,Rejetée,DOC003,2025
M0055,AAH,1512.42,815.95,2025-09-22,2025-12-10,2025-11-26,Erreur CAF,Ouvert,A solder,Manuel,Rejetée,DOC002,2025
M0056,PPA,459.32,861.37,2025-09-05,2025-10-05,2025-05-18,Recalcul,Ouvert,Relance,Automatique,Validée,DOC003,2025
M0057,RSA,1801.21,846.51,2025-09-04,2025-05-10,2025-11-02,Erreur CAF,Ouvert,Relance,Manuel,Validée,DOC001,2025
M0058,PPA,450.02,918.93,2025-06-04,2025-01-31,2025-08-18,Erreur CAF,Ouvert,Relance,Automatique,En attente,DOC003,2025
M0059,RSA,421.84,252.24,2025-02-03,2025-01-11,2025-11-04,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC002,2025
M0060,RSA,121.27,755.04,2025-05-09,2025-10-29,2025-06-10,Signalement usager,En attente,A solder,Manuel,En attente,DOC001,2025
M0061,PPA,970.53,460.54,2025-06-09,2025-04-06,2025-01-01,Signalement usager,En attente,A solder,Automatique,Validée,DOC002,2025
M0062,ASF,1151.44,842.0,2025-03-30,2025-07-09,2025-08-24,Recalcul,Ouvert,A solder,Automatique,En attente,DOC003,2025
M0063,RSA,178.13,728.49,2025-04-03,2025-07-11,2025-07-07,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0064,RSA,1562.28,776.45,2025-11-23,2025-09-23,2025-01-04,Recalcul,Ouvert,En cours,Manuel,Validée,DOC001,2025
M0065,PPA,933.91,656.16,2025-08-29,2025-05-08,2025-05-12,Erreur CAF,En attente,Relance,Manuel,Validée,DOC003,2025
M0066,RSA,1072.56,177.43,2025-11-19,2025-08-26,2025-08-06,Erreur CAF,Ouvert,Relance,Manuel,Rejetée,DOC003,2025
M0067,RSA,909.49,545.03,2025-04-27,2025-12-21,2025-09-17,Signalement usager,En attente,Relance,Manuel,En attente,DOC001,2025
M0068,PPA,831.49,984.67,2025-04-04,2025-04-22,2025-01-01,Erreur CAF,En attente,En cours,Automatique,Validée,DOC001,2025
M0069,PPA,1141.3,937.39,2025-06-12,2025-11-12,2025-03-12,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0070,AAH,352.72,43.17,2025-04-09,2025-12-09,2025-06-27,Signalement usager,Ouvert,Relance,Automatique,En attente,DOC002,2025
M0071,ASF,404.76,164.81,2025-04-23,2025-05-25,2025-07-08,Erreur CAF,Clôturé,A solder,Automatique,Validée,DOC001,2025
M0072,ASF,1730.48,131.73,2025-12-25,2025-03-06,2025-10-18,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC003,2025
M0073,RSA,1894.93,725.98,2025-04-01,2025-09-04,2025-01-08,Signalement usager,Clôturé,En cours,Automatique,Rejetée,DOC002,2025
M0074,ASF,777.95,817.79,2025-12-12,2025-08-11,2025-09-10,Erreur CAF,Ouvert,En cours,Automatique,En attente,DOC001,2025
M0075,RSA,577.95,213.51,2025-07-25,2025-11-09,2025-10-19,Recalcul,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0076,AAH,1305.8,505.85,2025-01-17,2025-04-16,2025-09-01,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC003,2025
M0077,PPA,847.03,840.7,2025-10-01,2025-06-30,2025-05-03,Erreur CAF,Clôturé,Relance,Automatique,Validée,DOC002,2025
M0078,PPA,99.5,732.8,2025-06-22,2025-07-03,2025-10-26,Recalcul,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0079,PPA,354.5,542.24,2025-04-26,2025-08-14,2025-10-10,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0080,ASF,1446.15,590.35,2025-12-15,2025-09-22,2025-02-01,Erreur CAF,Ouvert,En cours,Manuel,En attente,DOC002,2025
M0081,AAH,1334.9,508.36,2025-06-30,2025-10-05,2025-11-30,Signalement usager,Ouvert,En cours,Automatique,Rejetée,DOC001,2025
M0082,ASF,102.84,297.55,2025-04-01,2025-03-30,2025-05-26,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC002,2025
M0083,ASF,482.85,565.02,2025-03-23,2025-06-25,2025-06-05,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC001,2025
M0084,AAH,500.6,688.89,2025-11-20,2025-01-18,2025-01-16,Recalcul,En attente,En cours,Manuel,En attente,DOC002,2025
M0085,AAH,1360.19,873.32,2025-04-24,2025-04-16,2025-12-21,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0086,AAH,88.44,636.29,2025-09-14,2025-09-28,2025-02-16,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC003,2025
M0087,AAH,253.01,761.12,2025-02-27,2025-11-15,2025-09-08,Signalement usager,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0088,PPA,1609.84,160.07,2025-06-03,2025-06-16,2025-07-06,Erreur CAF,Clôturé,Relance,Manuel,En attente,DOC001,2025
M0089,APL,398.16,461.56,2025-12-31,2025-01-13,2025-01-31,Signalement usager,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0090,APL,1322.85,9.33,2025-04-26,2025-12-03,2025-09-17,Recalcul,En attente,A solder,Automatique,Rejetée,DOC002,2025
M0091,AAH,514.46,246.68,2025-12-09,2025-02-01,2025-01-17,Signalement usager,Clôturé,En cours,Manuel,Validée,DOC003,2025
M0092,APL,243.91,726.46,2025-09-23,2025-02-09,2025-02-08,Recalcul,Ouvert,En cours,Automatique,Rejetée,DOC002,2025
M0093,APL,524.19,991.81,2025-11-11,2025-05-28,2025-10-31,Signalement usager,Clôturé,En cours,Automatique,Rejetée,DOC002,2025
M0094,AAH,1458.42,99.18,2025-07-22,2025-08-06,2025-02-08,Signalement usager,Clôturé,En cours,Automatique,En attente,DOC001,2025
M0095,APL,1718.61,401.49,2025-02-10,2025-08-07,2025-05-12,Recalcul,Ouvert,A solder,Manuel,En attente,DOC002,2025
M0096,ASF,1668.93,800.07,2025-04-15,2025-03-23,2025-01-30,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0097,RSA,824.51,204.04,2025-07-12,2025-11-29,2025-06-07,Signalement usager,Clôturé,Relance,Manuel,Rejetée,DOC003,2025
M0098,RSA,1352.77,555.08,2025-10-05,2025-07-27,2025-10-05,Signalement usager,Clôturé,En cours,Manuel,Rejetée,DOC002,2025
M0099,AAH,449.72,733.07,2025-12-20,2025-07-20,2025-07-22,Erreur CAF,Clôturé,En cours,Manuel,Validée,DOC002,2025
M0100,PPA,621.64,615.99,2025-08-25,2025-11-28,2025-03-07,Recalcul,En attente,En cours,Manuel,Validée,DOC002,2025
M0101,AAH,1797.85,188.02,2025-08-09,2025-02-07,2025-04-18,Signalement usager,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0102,PPA,75.35,355.38,2025-03-09,2025-07-30,2025-09-25,Recalcul,Clôturé,A solder,Automatique,En attente,DOC001,2025
M0103,RSA,216.74,783.79,2025-07-16,2025-11-23,2025-08-10,Recalcul,Ouvert,Relance,Manuel,Validée,DOC002,2025
M0104,AAH,455.38,554.23,2025-09-13,2025-09-06,2025-10-19,Recalcul,En attente,En cours,Manuel,Validée,DOC002,2025
M0105,ASF,101.74,5.23,2025-05-19,2025-08-15,2025-01-18,Signalement usager,Ouvert,En cours,Automatique,Rejetée,DOC003,2025
M0106,APL,403.8,760.99,2025-11-08,2025-02-17,2025-03-31,Signalement usager,Ouvert,En cours,Automatique,Validée,DOC003,2025
M0107,PPA,1186.93,35.31,2025-05-29,2025-01-18,2025-06-30,Recalcul,Ouvert,En cours,Automatique,Rejetée,DOC003,2025
M0108,APL,871.78,745.73,2025-04-09,2025-10-22,2025-09-12,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC003,2025
M0109,APL,1790.71,202.48,2025-03-17,2025-07-15,2025-09-10,Recalcul,Ouvert,Relance,Automatique,En attente,DOC003,2025
M0110,AAH,1644.01,958.07,2025-10-09,2025-07-06,2025-09-14,Erreur CAF,Ouvert,Relance,Manuel,Validée,DOC001,2025
M0111,APL,716.54,367.94,2025-04-19,2025-12-11,2025-12-12,Recalcul,Ouvert,A solder,Manuel,Validée,DOC003,2025
M0112,ASF,555.88,326.93,2025-07-07,2025-08-12,2025-03-28,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0113,APL,790.4,148.89,2025-07-18,2025-11-14,2025-03-31,Recalcul,Ouvert,Relance,Automatique,En attente,DOC002,2025
M0114,AAH,1201.08,305.6,2025-10-30,2025-12-31,2025-08-25,Signalement usager,En attente,Relance,Automatique,En attente,DOC001,2025
M0115,ASF,572.72,876.65,2025-11-23,2025-12-03,2025-03-11,Erreur CAF,En attente,A solder,Manuel,Validée,DOC003,2025
M0116,RSA,1267.09,996.33,2025-06-03,2025-08-17,2025-02-13,Erreur CAF,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0117,APL,848.35,368.31,2025-02-09,2025-03-18,2025-07-19,Recalcul,En attente,Relance,Manuel,Validée,DOC003,2025
M0118,AAH,1126.49,448.61,2025-05-13,2025-07-07,2025-06-01,Signalement usager,En attente,En cours,Automatique,Validée,DOC002,2025
M0119,RSA,900.45,722.07,2025-05-12,2025-12-12,2025-03-27,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC002,2025
M0120,RSA,624.21,886.2,2025-10-06,2025-09-27,2025-01-19,Erreur CAF,Ouvert,A solder,Automatique,Validée,DOC002,2025
M0121,PPA,1899.48,593.04,2025-12-28,2025-04-05,2025-04-11,Signalement usager,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0122,ASF,1539.03,391.53,2025-03-25,2025-11-06,2025-04-05,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC002,2025
M0123,APL,323.22,412.62,2025-08-30,2025-05-12,2025-09-11,Erreur CAF,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0124,AAH,1743.51,695.62,2025-04-26,2025-02-08,2025-12-23,Erreur CAF,En attente,A solder,Automatique,Validée,DOC001,2025
M0125,PPA,1000.49,3.22,2025-04-19,2025-03-13,2025-01-30,Signalement usager,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0126,ASF,1794.38,619.59,2025-08-09,2025-10-08,2025-09-06,Erreur CAF,En attente,A solder,Automatique,Validée,DOC002,2025
M0127,PPA,1609.72,355.49,2025-02-10,2025-11-29,2025-02-02,Erreur CAF,En attente,Relance,Automatique,En attente,DOC001,2025
M0128,ASF,879.17,794.2,2025-05-27,2025-06-09,2025-08-17,Recalcul,Ouvert,En cours,Automatique,En attente,DOC003,2025
M0129,ASF,93.82,92.99,2025-04-22,2025-07-06,2025-01-12,Erreur CAF,En attente,A solder,Automatique,En attente,DOC001,2025
M0130,APL,573.92,588.2,2025-04-13,2025-07-10,2025-04-28,Erreur CAF,Clôturé,En cours,Manuel,En attente,DOC001,2025
M0131,ASF,1106.19,480.97,2025-02-15,2025-04-30,2025-12-16,Recalcul,En attente,Relance,Manuel,Validée,DOC001,2025
M0132,PPA,1285.28,642.33,2025-11-20,2025-08-08,2025-06-04,Recalcul,En attente,En cours,Manuel,Rejetée,DOC003,2025
M0133,ASF,552.88,64.85,2025-09-28,2025-02-22,2025-09-03,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC002,2025
M0134,APL,321.74,579.98,2025-07-14,2025-08-10,2025-11-28,Erreur CAF,Clôturé,A solder,Automatique,En attente,DOC003,2025
M0135,APL,1678.11,561.48,2025-10-07,2025-05-11,2025-09-04,Signalement usager,En attente,A solder,Manuel,Validée,DOC002,2025
M0136,PPA,1969.58,560.66,2025-10-10,2025-08-25,2025-01-29,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0137,RSA,1075.1,603.49,2025-02-09,2025-09-03,2025-06-10,Recalcul,En attente,A solder,Automatique,Validée,DOC003,2025
M0138,RSA,384.77,676.47,2025-07-08,2025-08-14,2025-08-23,Signalement usager,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0139,ASF,581.0,804.99,2025-06-13,2025-07-27,2025-07-09,Erreur CAF,En attente,Relance,Manuel,Rejetée,DOC002,2025
M0140,AAH,85.86,269.82,2025-01-24,2025-04-06,2025-04-27,Recalcul,En attente,Relance,Automatique,Rejetée,DOC003,2025
M0141,ASF,1832.88,825.05,2025-01-24,2025-07-19,2025-09-28,Erreur CAF,Ouvert,Relance,Manuel,En attente,DOC001,2025
M0142,PPA,279.61,498.26,2025-01-04,2025-09-04,2025-09-15,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC003,2025
M0143,PPA,1174.21,77.06,2025-11-19,2025-03-13,2025-06-29,Recalcul,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0144,PPA,584.41,58.55,2025-10-17,2025-11-14,2025-06-21,Erreur CAF,Clôturé,Relance,Manuel,En attente,DOC002,2025
M0145,PPA,1130.65,334.24,2025-06-30,2025-07-04,2025-10-01,Recalcul,En attente,En cours,Manuel,Rejetée,DOC002,2025
M0146,PPA,1320.27,784.9,2025-09-05,2025-01-06,2025-09-16,Erreur CAF,Clôturé,En cours,Automatique,En attente,DOC003,2025
M0147,APL,1668.0,707.68,2025-04-26,2025-07-25,2025-05-15,Recalcul,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0148,RSA,452.52,788.61,2025-10-06,2025-02-01,2025-06-20,Signalement usager,En attente,A solder,Manuel,En attente,DOC003,2025
M0149,PPA,71.44,517.27,2025-12-31,2025-04-09,2025-07-29,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC001,2025
M0150,AAH,316.93,440.2,2025-03-10,2025-09-13,2025-08-24,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC002,2025
M0151,AAH,1805.04,147.45,2025-12-17,2025-07-06,2025-07-05,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC001,2025
M0152,AAH,1754.09,328.19,2025-09-11,2025-03-17,2025-12-30,Erreur CAF,En attente,En cours,Automatique,En attente,DOC001,2025
M0153,AAH,1214.96,434.02,2025-06-30,2025-06-26,2025-04-05,Erreur CAF,En attente,A solder,Automatique,Validée,DOC003,2025
M0154,APL,1221.01,88.6,2025-11-14,2025-11-11,2025-01-11,Recalcul,En attente,En cours,Automatique,En attente,DOC003,2025
M0155,AAH,1346.82,220.61,2025-06-18,2025-10-14,2025-03-09,Signalement usager,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0156,PPA,391.97,598.23,2025-11-09,2025-12-15,2025-07-29,Signalement usager,En attente,A solder,Automatique,En attente,DOC001,2025
M0157,ASF,1833.1,735.66,2025-09-06,2025-09-12,2025-07-15,Signalement usager,En attente,A solder,Automatique,En attente,DOC003,2025
M0158,AAH,866.6,998.35,2025-07-07,2025-11-21,2025-04-08,Recalcul,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0159,APL,797.12,933.11,2025-02-23,2025-07-09,2025-04-03,Signalement usager,Clôturé,A solder,Automatique,Rejetée,DOC001,2025
M0160,APL,1061.89,642.57,2025-11-22,2025-11-04,2025-01-22,Recalcul,Ouvert,En cours,Automatique,En attente,DOC003,2025
M0161,AAH,141.58,421.25,2025-12-23,2025-12-11,2025-06-21,Erreur CAF,Ouvert,Relance,Automatique,Validée,DOC003,2025
M0162,ASF,374.25,636.18,2025-11-09,2025-05-07,2025-05-14,Erreur CAF,En attente,En cours,Automatique,En attente,DOC001,2025
M0163,AAH,1489.17,785.65,2025-05-18,2025-10-14,2025-01-25,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0164,APL,211.46,118.34,2025-06-17,2025-09-11,2025-07-04,Recalcul,Ouvert,A solder,Manuel,Validée,DOC002,2025
M0165,RSA,1226.15,409.9,2025-04-13,2025-08-01,2025-03-26,Erreur CAF,En attente,Relance,Automatique,En attente,DOC001,2025
M0166,PPA,528.43,839.8,2025-03-26,2025-09-07,2025-02-24,Recalcul,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0167,APL,809.13,383.83,2025-11-13,2025-03-25,2025-09-08,Recalcul,Clôturé,En cours,Automatique,Rejetée,DOC001,2025
M0168,AAH,612.95,571.87,2025-07-31,2025-01-13,2025-05-24,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC001,2025
M0169,PPA,743.56,587.77,2025-01-03,2025-02-14,2025-12-17,Recalcul,Ouvert,A solder,Automatique,Rejetée,DOC001,2025
M0170,AAH,1452.14,184.48,2025-06-28,2025-05-07,2025-06-16,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0171,AAH,629.39,362.24,2025-12-08,2025-04-24,2025-08-12,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC002,2025
M0172,RSA,1154.49,334.51,2025-10-30,2025-10-03,2025-08-08,Erreur CAF,Clôturé,A solder,Manuel,En attente,DOC003,2025
M0173,PPA,978.3,26.2,2025-11-28,2025-07-24,2025-06-28,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC002,2025
M0174,PPA,1344.16,24.19,2025-02-07,2025-12-03,2025-04-29,Erreur CAF,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0175,RSA,1876.82,831.7,2025-08-27,2025-09-30,2025-09-22,Recalcul,En attente,A solder,Automatique,Validée,DOC002,2025
M0176,APL,1478.52,273.07,2025-06-18,2025-02-27,2025-05-30,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC001,2025
M0177,AAH,469.13,518.08,2025-12-09,2025-11-24,2025-08-03,Erreur CAF,Clôturé,En cours,Manuel,En attente,DOC002,2025
M0178,ASF,110.81,298.73,2025-11-10,2025-08-07,2025-07-16,Signalement usager,En attente,En cours,Automatique,Validée,DOC002,2025
M0179,AAH,561.41,940.68,2025-11-02,2025-04-19,2025-02-11,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC002,2025
M0180,AAH,1210.4,259.3,2025-01-30,2025-10-06,2025-02-22,Signalement usager,Ouvert,En cours,Manuel,Validée,DOC001,2025
M0181,APL,150.28,429.66,2025-07-09,2025-06-23,2025-11-26,Recalcul,En attente,A solder,Manuel,Validée,DOC002,2025
M0182,AAH,1017.91,872.73,2025-12-23,2025-11-24,2025-09-08,Recalcul,Clôturé,A solder,Automatique,Validée,DOC001,2025
M0183,RSA,1213.84,841.93,2025-01-25,2025-09-21,2025-10-22,Erreur CAF,En attente,A solder,Automatique,En attente,DOC001,2025
M0184,RSA,701.78,186.1,2025-04-22,2025-11-11,2025-09-28,Erreur CAF,Ouvert,A solder,Automatique,Rejetée,DOC003,2025
M0185,PPA,1553.28,802.64,2025-07-25,2025-04-21,2025-05-03,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC002,2025
M0186,ASF,257.87,458.19,2025-07-04,2025-07-06,2025-12-05,Erreur CAF,Ouvert,Relance,Manuel,En attente,DOC003,2025
M0187,AAH,196.52,482.97,2025-02-16,2025-09-26,2025-09-23,Recalcul,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0188,AAH,1469.97,133.48,2025-08-16,2025-08-17,2025-12-14,Erreur CAF,Clôturé,Relance,Automatique,En attente,DOC001,2025
M0189,APL,1016.21,80.6,2025-02-08,2025-06-05,2025-01-29,Erreur CAF,Clôturé,En cours,Manuel,Validée,DOC002,2025
M0190,RSA,1392.38,727.94,2025-01-16,2025-07-08,2025-02-04,Signalement usager,Ouvert,A solder,Automatique,En attente,DOC001,2025
M0191,ASF,897.91,496.46,2025-01-22,2025-09-29,2025-01-06,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0192,PPA,530.48,436.85,2025-08-01,2025-01-02,2025-04-21,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC002,2025
